Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	16	12.121212121212121	0.004072745410501785	Rbmx,Zfp420,Zfp788,Zfp933,Gm14325,Nelfe,9130023H24Rik,Tut1,Gfi1b,Gm15446,Cbll1,Zfp512b,Zfp141,Gm13212,Zfp970,Dnajc17	100	1237	17446	2.2565561843168958	0.5703480241588019	0.647563293895139	0.647563293895139
GOTERM_MF_DIRECT	GO:0016740~transferase activity	17	12.878787878787879	0.00851565988459558	Galnt1,Papolg,Stk24,B3gntl1,Hnmt,Tut1,Cdk6,Galk1,Hectd3,Setd7,Parp11,Mast4,Bmp2k,Chst12,Poli,Mapkapk3,Trmt1	100	1472	17446	2.0148233695652173	0.8297163892256209	0.647563293895139	0.647563293895139
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	30	22.727272727272727	0.010192605787350338	Nudt16,Zfp788,Zfp933,Gm14325,Inpp1,Rnf167,Rsad1,Cpa3,Gm15446,Top3a,Zfp141,Gm13212,Zfp970,Poli,Trmt1,Rnf213,Mysm1,Gtf2h3,Zfp420,Galnt1,Papolg,Stk24,9130023H24Rik,Tut1,Nt5c3b,Gfi1b,Cbll1,Zfp512b,Pgm2,Mast4	100	3355	17446	1.5599999999999998	0.8800518315213246	0.647563293895139	0.647563293895139
GOTERM_MF_DIRECT	GO:0016779~nucleotidyltransferase activity	4	3.0303030303030303	0.012513300365123459	Tut1,Nmnat1,Papolg,Poli	100	85	17446	8.209882352941175	0.9262147152951157	0.647563293895139	0.647563293895139
GOTERM_MF_DIRECT	GO:0000287~magnesium ion binding	5	3.787878787878788	0.028022464823230772	Nudt16,Nt5c3b,Pgm2,Inpp1,Mast4	100	202	17446	4.318316831683168	0.9972149110205939	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	8	6.0606060606060606	0.031427584196545406	Cdk6,Gtf2h3,Ccl3,Stk24,Mast4,Bmp2k,Tbrg4,Mapkapk3	100	531	17446	2.6283992467043316	0.9986530732489366	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0003723~RNA binding	10	7.575757575757576	0.03299904770018381	Nudt16,Rbmx,Tut1,Rtca,Papolg,Hmgb3,Nelfe,Dnajc17,Wrap53,Trmt1	100	780	17446	2.236666666666667	0.9990375710737179	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0004652~polynucleotide adenylyltransferase activity	2	1.5151515151515151	0.04451449359399665	Tut1,Papolg	100	8	17446	43.615	0.9999193898987622	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	18	13.636363636363635	0.04452564364633392	Nudt16,Rbmx,Papolg,Gpn1,Stk24,Nelfe,Tut1,Nt5c3b,Cdk6,Galk1,Rtca,Myo5a,Vps4b,Dnajc17,Mast4,Bmp2k,Rmi1,Mapkapk3	100	1936	17446	1.6220454545454543	0.9999195843858226	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0032403~protein complex binding	6	4.545454545454546	0.053126146928793465	Mysm1,Arpc1b,Wrap53,Myc,Depdc5,Hmbox1	100	358	17446	2.9239106145251395	0.9999876271515042	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0043008~ATP-dependent protein binding	2	1.5151515151515151	0.05533307916600905	Myo5a,Sae1	100	10	17446	34.892	0.9999923670474175	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0008641~small protein activating enzyme activity	2	1.5151515151515151	0.05533307916600905	Atg7,Sae1	100	10	17446	34.892	0.9999923670474175	0.954495615613656	0.954495615613656
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	10	7.575757575757576	0.06316679325697883	Zfp420,Stat3,Zfp141,Srebf2,Gm13212,Zfp970,Crebrf,Carf,9130023H24Rik,Myc	100	883	17446	1.9757644394110987	0.9999986382694571	1.0	1.0
GOTERM_MF_DIRECT	GO:0046983~protein dimerization activity	4	3.0303030303030303	0.09370255192780884	Stat3,Myo5a,Srebf2,Myc	100	190	17446	3.6728421052631575	0.9999999985709523	1.0	1.0
