Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	46	10.0	4.060755258089513E-20	ENSMUSG00000030045, ENSMUSG00000057841, ENSMUSG00000060636, ENSMUSG00000025290, ENSMUSG00000079435, ENSMUSG00000060938, ENSMUSG00000068739, ENSMUSG00000061983, ENSMUSG00000020460, ENSMUSG00000025794, ENSMUSG00000098274, ENSMUSG00000061787, ENSMUSG00000027810, ENSMUSG00000048758, ENSMUSG00000059070, ENSMUSG00000041453, ENSMUSG00000024608, ENSMUSG00000047675, ENSMUSG00000046364, ENSMUSG00000017404, ENSMUSG00000038900, ENSMUSG00000074129, ENSMUSG00000071415, ENSMUSG00000031167, ENSMUSG00000008683, ENSMUSG00000028234, ENSMUSG00000049751, ENSMUSG00000040952, ENSMUSG00000063457, ENSMUSG00000061477, ENSMUSG00000062006, ENSMUSG00000008668, ENSMUSG00000059291, ENSMUSG00000062328, ENSMUSG00000062647, ENSMUSG00000049517, ENSMUSG00000044533, ENSMUSG00000090862, ENSMUSG00000038274, ENSMUSG00000093674, ENSMUSG00000031948, ENSMUSG00000039221, ENSMUSG00000032518, ENSMUSG00000035202, ENSMUSG00000034994, ENSMUSG00000030432	386	401	18082	5.373690127014071	6.558119741814564E-17	6.558119741814564E-17	6.541876720782205E-17
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	7	1.5217391304347827	3.7093577442885935E-6	ENSMUSG00000044533, ENSMUSG00000024608, ENSMUSG00000032518, ENSMUSG00000040952, ENSMUSG00000063457, ENSMUSG00000052146, ENSMUSG00000061787	386	21	18082	15.614853195164075	0.005972715858462041	0.002995306378513039	0.002987887663024462
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	13	2.8260869565217392	1.607029327999946E-5	ENSMUSG00000060636, ENSMUSG00000025290, ENSMUSG00000031683, ENSMUSG00000060938, ENSMUSG00000063334, ENSMUSG00000040952, ENSMUSG00000063457, ENSMUSG00000061477, ENSMUSG00000025794, ENSMUSG00000061787, ENSMUSG00000025337, ENSMUSG00000059291, ENSMUSG00000034321	386	126	18082	4.833168846122215	0.025619828997340388	0.008651174549066377	0.008629747491359712
GOTERM_BP_DIRECT	GO:0098869~cellular oxidant detoxification	4	0.8695652173913043	9.278029076858017E-5	ENSMUSG00000069919, ENSMUSG00000069917, ENSMUSG00000073940, ENSMUSG00000052305	386	5	18082	37.47564766839378	0.13916042945201879	0.037460042397814246	0.03736726210704566
GOTERM_BP_DIRECT	GO:1903146~regulation of mitophagy	6	1.3043478260869565	1.9394221262841377E-4	ENSMUSG00000033918, ENSMUSG00000022051, ENSMUSG00000022463, ENSMUSG00000031812, ENSMUSG00000030314, ENSMUSG00000030432	386	26	18082	10.810282981267436	0.2689307206202586	0.06264333467897765	0.06248818090887492
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	5	1.0869565217391304	6.086353292974187E-4	ENSMUSG00000025290, ENSMUSG00000040952, ENSMUSG00000063457, ENSMUSG00000061477, ENSMUSG00000061787	386	19	18082	12.32751568039269	0.6259049262901114	0.1638243428025552	0.1634185859163569
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	6	1.3043478260869565	7.134409379605283E-4	ENSMUSG00000048758, ENSMUSG00000060636, ENSMUSG00000007892, ENSMUSG00000025508, ENSMUSG00000060938, ENSMUSG00000039221	386	34	18082	8.266686985675099	0.684191204564272	0.16460101640089334	0.16419333586491588
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	5	1.0869565217391304	0.0015341118514348782	ENSMUSG00000060636, ENSMUSG00000060938, ENSMUSG00000031657, ENSMUSG00000025794, ENSMUSG00000059291	386	24	18082	9.759283246977548	0.9162143088905614	0.309698830008416	0.3089317740826986
GOTERM_BP_DIRECT	GO:0006123~mitochondrial electron transport, cytochrome c to oxygen	4	0.8695652173913043	0.001826294174271454	ENSMUSG00000061518, ENSMUSG00000031818, ENSMUSG00000041697, ENSMUSG00000000088	386	12	18082	15.614853195164077	0.9477733130546213	0.3277183434942665	0.3269066571945903
GOTERM_BP_DIRECT	GO:0030097~hemopoiesis	8	1.7391304347826086	0.0023857995510389637	ENSMUSG00000005672, ENSMUSG00000026815, ENSMUSG00000040274, ENSMUSG00000006386, ENSMUSG00000073940, ENSMUSG00000024986, ENSMUSG00000021102, ENSMUSG00000052305	386	86	18082	4.357633449813231	0.9788828531274272	0.35376662430586076	0.3528904221403974
GOTERM_BP_DIRECT	GO:0048821~erythrocyte development	5	1.0869565217391304	0.0024095559550244387	ENSMUSG00000069919, ENSMUSG00000058587, ENSMUSG00000069917, ENSMUSG00000073940, ENSMUSG00000052305	386	27	18082	8.67491844175782	0.9796795746677999	0.35376662430586076	0.3528904221403974
GOTERM_BP_DIRECT	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	1.0869565217391304	0.0027645146332873904	ENSMUSG00000025290, ENSMUSG00000047675, ENSMUSG00000024608, ENSMUSG00000063334, ENSMUSG00000040952	386	28	18082	8.365099925980754	0.9885626833858046	0.36005533993147637	0.3591635619997575
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	8	1.7391304347826086	0.0028982782780861875	ENSMUSG00000042354, ENSMUSG00000026020, ENSMUSG00000063334, ENSMUSG00000025337, ENSMUSG00000008668, ENSMUSG00000062006, ENSMUSG00000027405, ENSMUSG00000062647	386	89	18082	4.210746929033009	0.9907904617658433	0.36005533993147637	0.3591635619997575
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	15	3.260869565217391	0.009437961313258135	ENSMUSG00000031134, ENSMUSG00000007850, ENSMUSG00000008333, ENSMUSG00000031683, ENSMUSG00000040824, ENSMUSG00000024491, ENSMUSG00000020273, ENSMUSG00000010608, ENSMUSG00000021650, ENSMUSG00000021134, ENSMUSG00000071645, ENSMUSG00000028609, ENSMUSG00000020018, ENSMUSG00000020409, ENSMUSG00000014980	386	322	18082	2.182199980690632	0.9999997766870025	1.0	0.9981412639405205
GOTERM_BP_DIRECT	GO:0032091~negative regulation of protein binding	6	1.3043478260869565	0.009562472049936873	ENSMUSG00000022812, ENSMUSG00000030272, ENSMUSG00000057531, ENSMUSG00000039615, ENSMUSG00000051149, ENSMUSG00000022346	386	61	18082	4.6076615985730065	0.9999998177169221	1.0	0.9981412639405205
GOTERM_BP_DIRECT	GO:0001649~osteoblast differentiation	8	1.7391304347826086	0.010560014090937132	ENSMUSG00000031134, ENSMUSG00000032560, ENSMUSG00000063457, ENSMUSG00000000982, ENSMUSG00000016559, ENSMUSG00000049775, ENSMUSG00000073676, ENSMUSG00000020650	386	113	18082	3.3164289972029897	0.9999999641925272	1.0	0.9981412639405205
GOTERM_BP_DIRECT	GO:0006914~autophagy	9	1.956521739130435	0.011155018065884826	ENSMUSG00000028618, ENSMUSG00000056054, ENSMUSG00000026781, ENSMUSG00000079477, ENSMUSG00000046230, ENSMUSG00000031812, ENSMUSG00000018171, ENSMUSG00000030314, ENSMUSG00000056071	386	142	18082	2.969021382179085	0.9999999864460596	1.0	0.9981412639405205
GOTERM_BP_DIRECT	GO:0006360~transcription from RNA polymerase I promoter	3	0.6521739130434783	0.02591734943982125	ENSMUSG00000027364, ENSMUSG00000033020, ENSMUSG00000038489	386	12	18082	11.711139896373057	1.0	1.0	0.9981412639405205
GOTERM_BP_DIRECT	GO:1903955~positive regulation of protein targeting to mitochondrion	6	1.3043478260869565	0.02794303407395206	ENSMUSG00000084786, ENSMUSG00000050213, ENSMUSG00000022463, ENSMUSG00000026986, ENSMUSG00000030432, ENSMUSG00000052833	386	80	18082	3.5133419689119165	1.0	1.0	0.9981412639405205
