Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	25	18.939393939393938	0.0019036431615865918	ENSMUSG00000007880, ENSMUSG00000074165, ENSMUSG00000059423, ENSMUSG00000095362, ENSMUSG00000022463, ENSMUSG00000024369, ENSMUSG00000022346, ENSMUSG00000021972, ENSMUSG00000090015, ENSMUSG00000037111, ENSMUSG00000019947, ENSMUSG00000092416, ENSMUSG00000050213, ENSMUSG00000078502, ENSMUSG00000078866, ENSMUSG00000062627, ENSMUSG00000029387, ENSMUSG00000058402, ENSMUSG00000004040, ENSMUSG00000048249, ENSMUSG00000062944, ENSMUSG00000026017, ENSMUSG00000026815, ENSMUSG00000015217, ENSMUSG00000034278	104	2279	18082	1.9072552063995678	0.7370327114068953	0.9801639341578812	0.9801639341578812
GOTERM_BP_DIRECT	GO:0006996~organelle organization	3	2.272727272727273	0.002796473421277835	ENSMUSG00000057531, ENSMUSG00000027615, ENSMUSG00000030314	104	14	18082	37.25686813186813	0.8595739118393388	0.9801639341578812	0.9801639341578812
GOTERM_BP_DIRECT	GO:1903955~positive regulation of protein targeting to mitochondrion	4	3.0303030303030303	0.01074024058117595	ENSMUSG00000050213, ENSMUSG00000022463, ENSMUSG00000026986, ENSMUSG00000052833	104	80	18082	8.69326923076923	0.9994841175549566	1.0	1.0
GOTERM_BP_DIRECT	GO:0060548~negative regulation of cell death	4	3.0303030303030303	0.01074024058117595	ENSMUSG00000004040, ENSMUSG00000009907, ENSMUSG00000030314, ENSMUSG00000022346	104	80	18082	8.69326923076923	0.9994841175549566	1.0	1.0
GOTERM_BP_DIRECT	GO:0043473~pigmentation	3	2.272727272727273	0.02713681269365468	ENSMUSG00000034593, ENSMUSG00000027615, ENSMUSG00000022346	104	45	18082	11.591025641025642	0.9999999957899145	1.0	1.0
GOTERM_BP_DIRECT	GO:0010572~positive regulation of platelet activation	2	1.5151515151515151	0.028161810098142018	ENSMUSG00000026580, ENSMUSG00000020120	104	5	18082	69.54615384615384	0.9999999979892091	1.0	1.0
GOTERM_BP_DIRECT	GO:2001171~positive regulation of ATP biosynthetic process	2	1.5151515151515151	0.03369919647695528	ENSMUSG00000004040, ENSMUSG00000022346	104	6	18082	57.95512820512821	0.9999999999633773	1.0	1.0
GOTERM_BP_DIRECT	GO:0045656~negative regulation of monocyte differentiation	2	1.5151515151515151	0.03920533626262181	ENSMUSG00000040274, ENSMUSG00000022346	104	7	18082	49.675824175824175	0.9999999999993331	1.0	1.0
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	4	3.0303030303030303	0.04429973145904448	ENSMUSG00000031134, ENSMUSG00000029387, ENSMUSG00000004040, ENSMUSG00000022346	104	138	18082	5.039576365663322	0.9999999999999839	1.0	1.0
GOTERM_BP_DIRECT	GO:0045646~regulation of erythrocyte differentiation	2	1.5151515151515151	0.04468040405574004	ENSMUSG00000026815, ENSMUSG00000040274	104	8	18082	43.46634615384615	0.9999999999999879	1.0	1.0
GOTERM_BP_DIRECT	GO:1904628~cellular response to phorbol 13-acetate 12-myristate	2	1.5151515151515151	0.04468040405574004	ENSMUSG00000040274, ENSMUSG00000022346	104	8	18082	43.46634615384615	0.9999999999999879	1.0	1.0
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	3	2.272727272727273	0.05892380145418311	ENSMUSG00000000982, ENSMUSG00000022346, ENSMUSG00000032577	104	69	18082	7.559364548494983	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	3	2.272727272727273	0.07463836086032734	ENSMUSG00000062627, ENSMUSG00000007880, ENSMUSG00000022346	104	79	18082	6.602482960077897	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	3	2.272727272727273	0.07627677419848937	ENSMUSG00000031134, ENSMUSG00000000982, ENSMUSG00000022346	104	80	18082	6.519951923076923	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031396~regulation of protein ubiquitination	2	1.5151515151515151	0.08738299039742832	ENSMUSG00000020634, ENSMUSG00000030314	104	16	18082	21.733173076923077	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0021680~cerebellar Purkinje cell layer development	2	1.5151515151515151	0.08738299039742832	ENSMUSG00000001751, ENSMUSG00000030314	104	16	18082	21.733173076923077	1.0	1.0	1.0
